,g,b,5g5b,gb
0,-0.2128,0.2436,-0.2128,0.1263
1,0.0752,0.1725,0.0752,0.1807
2,-0.0085,-0.0691,-0.0085,0.0064
3,0.0978,0.0663,0.0978,0.1183
4,0.0784,0.1173,0.0784,0.1609
5,-0.0362,0.0638,-0.0362,0.1521
